tweet_id,tweet_created,tweet_extracted,text,lang,user_id,user_name,user_username,user_location,user_description,user_created,user_followers_count,user_following_count,user_tweet_count,user_verified,source,retweet_count,like_count,reply_count,impression_count
1.6427385624866693e+18,2023-04-03 03:59:28+00:00,06:52.5,"RT @DarrellLerner: ChatGPT Plugins are the fastest way to get rich in 2023. 

I’ve created a step-by-step guide showing you how to earn $10…",en,2383245894,pk,pradeep42329225,India,💐💐।।जय श्री महाकाल।।💐💐,2014-03-11 06:04:10+00:00,269,4141,3816,FALSE,,628,0,0,0
1.6429198880616448e+18,2023-04-03 15:59:59+00:00,07:04.7,"Get an intelligent chatbot for your website in minutes with Chatbase AI. Train ChatGPT on your data and let it answer any question your users have. Simply upload a document or link and add the chat widget - it's that easy!
Make Money using AI: https://t.co/yLHEqn4w9T https://t.co/ba54JvoRsM",en,1633040597782081537,AR Leyva,ArrheniusLey,United Kingdom,Passionate about AI and its potential to transform the business landscape and shape the future. https://t.co/c3UpfbLbqH,2023-03-07 09:43:36+00:00,264,24,198,FALSE,,0,0,0,58
1.642708351690711e+18,2023-04-03 01:59:25+00:00,06:50.6,"🔥Hey Guys, #ZenithSwap has launched at just $ 55,000 USD Marketcap. The ChatGPT of DEX - Reimagining DeFi with AI-Powered Yield Farming. Now at 4X. Lot of up potential at such low marketcap.🔥😇 $ARB $ZSP #Arbitrum https://t.co/9VWYtYzAJD",en,1311403370670960640,Human Being 🇨🇳🇸🇬🇻🇳,KiarostamiBeing,"Chicago, IL",Freedom is the Recognition of Necessity • Market Socialism • Cheng Enfu Stan • Empiricism is the Science of Economics || Stay Humble ✌️,2020-09-30 20:32:00+00:00,447,419,12949,FALSE,,0,0,0,0
1.6428593561893274e+18,2023-04-03 11:59:28+00:00,07:00.4,"RT @sinsonetwork: Now! Join #SINSO DataLand^ChatGPT #Airdrop!
📅3.23-4.6
📌Tasks
①Log in to&lt;https://t.co/Hlwqa7HG40&gt;
②Try SINSO #ChatGPT&amp; twe…",en,462142717,MokoHaram,holymoko,Zambia mufulira,Public faker🍂,2012-01-12 16:25:12+00:00,2286,982,20438,FALSE,,270,0,0,0
1.6428744495305933e+18,2023-04-03 12:59:26+00:00,07:01.4,"The plagiarism detector will introduce its #AI detection tool tomorrow, hoping to protect academic integrity in a post-#ChatGPT world. 

The speedy launch and lack of an opt-out have #academics worried.

An important piece @liamhknox for @insidehighered 

https://t.co/pq7DB5r9An",en,896094324341039104,Dr. Susan D'Agostino,susan_dagostino,"New Hampshire, USA",Tech reporter @insidehighered. Mathematician. Bylines @WashingtonPost @TheAtlantic @QuantaMagazine @WIRED @BulletinAtomic @Nature @NPR @BBC,2017-08-11 19:41:50+00:00,4444,1924,3320,TRUE,,7,22,1,5769
1.6429952282095575e+18,2023-04-03 20:59:22+00:00,07:10.6,"""Germany could follow in Italy's footsteps by blocking ChatGPT over data security concerns..."" 👇 #readmorehere https://t.co/OS8DDsU2uD",en,1001039446555480064,Milli🥨,Milli19751,,"👣NeverSaveTheBestForLater Nam myōhō renge kyō 🉐
🍀firma qui: https://t.co/cE9wMNLF7s",2018-05-28 09:56:17+00:00,960,743,24651,FALSE,,0,0,0,36
1.642798941644419e+18,2023-04-03 07:59:24+00:00,06:56.4,"RT @cz_binance: ChatGPT &gt; FUD 😂

This guy (ai) knows too much... https://t.co/6Bl3e9Mlvx",en,2962446790,🤨Anthony👽,doganruzgar77,,,2015-01-05 17:44:01+00:00,13,24,46,FALSE,,4009,0,0,0
1.6428443860975045e+18,2023-04-03 10:59:58+00:00,06:59.4,RT @JakeSucky: These guys asked ChatGPT how to win a Valorant game and got their opponent to surrender lmao https://t.co/EVZyD7CfPi,en,1146047167284547586,CatalinZ,qCatalinZ,,aw shit | wardog,2019-07-02 13:25:11+00:00,30,104,857,FALSE,,504,0,0,0
1.6429348798841324e+18,2023-04-03 16:59:34+00:00,07:05.9,RT @jessicard: i hooked up chatgpt to a furby and I think this may be the start of something bad for humanity https://t.co/jximZe2qeG,en,19026321,Jay Spanton,Spanty,"Kingsbridge, Devon","Researcher/ designer. Currently UKRI. Formerly National Archive, Land Registry, DEFRA, Met Office, GDS, cxpartners, eBay...",2009-01-15 15:56:58+00:00,405,714,5568,FALSE,,7655,0,0,0
1.6427385979408302e+18,2023-04-03 03:59:37+00:00,06:52.5,"RT @jbrowder1: I asked the new ChatGPT browsing extension to find me some money. Within a minute, I had $210 on the way to my bank account…",en,4587704414,Gian Marcos,GianMarcosMer,,"Web Designer in Progress❤
+Peruano🇵🇪 que la papa🥔",2015-12-17 21:04:51+00:00,214,837,20564,FALSE,,1730,0,0,0
